ID,Style,Artwork,Artist,Date,Link
78667,Abstract-Expressionism,Bay,Elmer Bischoff,1960,https://uploads2.wikiart.org/images/elmer-bischoff/bay-1960.jpg
78668,Abstract-Expressionism,Untitled,Moshe Kupferman,1960,https://uploads8.wikiart.org/images/moshe-kupferman/untitled-1960.jpg
78669,Abstract-Expressionism,Untitled,Richards Ruben,1960,https://uploads7.wikiart.org/images/richards-ruben/untitled-1960.jpg
78670,Abstract-Expressionism,Mensaje metacrome,Mathias Goeritz,1960,https://uploads8.wikiart.org/images/mathias-goeritz/mensaje-metacrome-1960.jpg
78671,Abstract-Expressionism,Early Mutation Green No. II,Bernard Cohen,1960,https://uploads6.wikiart.org/images/bernard-cohen/early-mutation-green-no-ii-1960.jpg
78672,Abstract-Expressionism,Head,William Turnbull,1960,https://uploads5.wikiart.org/images/william-turnbull/head-1960.jpg
78673,Abstract-Expressionism,Untitled,Lee Bontecou,1960,https://uploads5.wikiart.org/images/lee-bontecou/untitled-1960.jpg
78674,Abstract-Expressionism,Pink Jizo,Noguchi Isamu,1960,https://uploads7.wikiart.org/images/isamu-noguchi/pink-jizo-1960.jpg
78675,Abstract-Expressionism,Hankchampion,Mark di Suvero,1960,https://uploads2.wikiart.org/images/mark-di-suvero/hankchampion-1960.jpg
78676,Abstract-Expressionism,Ear of Earth,Nicolas Carone,1960,https://uploads2.wikiart.org/images/nicolas-carone/ear-of-earth-1960.jpg
78677,Abstract-Expressionism,Untitled,Nasreen Mohamedi,1960,https://uploads0.wikiart.org/images/nasreen-mohamedi/untitled-1960.jpg
78678,Abstract-Expressionism,Untitled,Lee Bontecou,1960,https://uploads7.wikiart.org/images/lee-bontecou/untitled-1960-1.jpg
78679,Abstract-Expressionism,Cool Blast,Adolph Gottlieb,1960,https://uploads1.wikiart.org/images/adolph-gottlieb/cool-blast-1960.jpg
78680,Abstract-Expressionism,The Figure 4 on an Elegy,Robert Motherwell,1960,https://uploads8.wikiart.org/images/robert-motherwell/the-figure-4-on-an-elegy-1960.jpg
78681,Abstract-Expressionism,L’atelier,Bruno Cassinari,1960,https://uploads6.wikiart.org/00115/images/bruno-cassinari/l-atelier-1960.jpg
78682,Abstract-Expressionism,Relief V,Karlo Zvirynsky,1960,https://uploads6.wikiart.org/00125/images/carlo-zvirynsky/relief-v-1960.jpg
78683,Abstract-Expressionism,Untitled 14,John Altoon,1960,https://uploads7.wikiart.org/00141/images/john-altoon/untitled-14-1960.jpg
78684,Abstract-Expressionism,Untitled,Manoucher Yektai,1960,https://uploads3.wikiart.org/00153/images/manoucher-yektai/big2-60-manouch-48-jpg-1.jpg
78685,Abstract-Expressionism,Sin título,Alice Rahon,1960,https://uploads4.wikiart.org/00288/images/alice-rahon/screen-shot-2020-05-12-at-3-43-08-pm.png!PinterestSmall.png
78686,Abstract-Expressionism,Blue Force,Ed Clark,1960,https://uploads3.wikiart.org/00331/images/ed-clark/blue-force-1960-74x82in-1.jpg
78687,Abstract-Expressionism,Untitled,Donald Judd,1960,https://uploads3.wikiart.org/00336/images/donald-judd/untitled-1960.jpg
78688,Abstract-Expressionism,Untitled,Donald Judd,1960,https://uploads5.wikiart.org/00336/images/donald-judd/untitled-1960-1.jpg
78689,Abstract-Expressionism,Leda's Swan (Leda and the Swan),Salvador Dali,1961,https://uploads4.wikiart.org/images/salvador-dali/leda-s-swan-leda-and-the-swan.jpg
78690,Abstract-Expressionism,The Infanta (Standing Woman),Salvador Dali,1961,https://uploads1.wikiart.org/images/salvador-dali/the-infanta-standing-woman.jpg
78691,Abstract-Expressionism,Blue II,Joan Miro,1961,https://uploads5.wikiart.org/images/joan-miro/blue-ii.jpg
78692,Abstract-Expressionism,Blue III,Joan Miro,1961,https://uploads6.wikiart.org/images/joan-miro/blue-iii.jpg
78693,Abstract-Expressionism,Ferragosto III,Cy Twombly,1961,https://uploads4.wikiart.org/images/cy-twombly/ferragosto-iii.jpg
